 ![Eubic Logo](https://github.com/ypriverol/ReproducibleMSGuidelines/raw/master/eubic-logo.png)  European Bioinformatics Community  ## Title: Minimal Guidelines for Reproducible MS-based Research ## Version: v0.1 ## Authors: Johannes Griss (http://orcid.org/0000-0003-2206-9511), Wout	Bittremieux (http://orcid.org/0000-0002-3105-1359), David Bouyssié , Vladimir	Gorshkov (http://orcid.org/0000-0003-0170-5785), Marie Locard-Paulet (http://orcid.org/0000-0003-2879-9224), Timo Sachsenberg (http://orcid.org/0000-0002-2833-6070), Veit Schwämmle (http://orcid.org/0000-0002-9708-6722), Julian Uszkoreit (http://orcid.org/0000-0001-7522-4007), Marc Vaudel (), Mathias Walzer (http://orcid.org/0000-0003-4538-2754), Sander Willems (http://orcid.org/0000-0002-7124-610X), Yasset Perez-Riverol (http://orcid.org/0000-0001-6579-6941) and the EuBIC Community.   ## Scope  There is a growing concern about a lack of reproducibility in science that also affects bioinformatics and mass spectrometry (MS-based) technologies. One aspect of this problem is that bioinformatic analysis are increasingly complex and greatly influence the outcome of a study. Current bioinformatic analysis commonly consist of multiple tools and algorithms, each with its own set of parameters. Recording all of these settings in full detail is rarely possible in methods sections of a research manuscript. This often leads to vital details about the bioinformatic processing of the data to be missing. In this work, we therefore try to establish:    * A set of guidelines to describe the minimal information required in the bioinformatic methods section of MS-based manuscripts.    * A well-defined checklist of requirements to help authors, reviewers, and editors to assess bioinformatic analyses.   * The required extended information data (supplementary) that needs to accompany any manuscript in order to ensure its reproducibility.  The following guidelines will be focused on studies and manuscripts performed using MS-based technologies (see below). However, the principles of the guidelines can be applied and extended to other omics bioinformatics data analysis. Additionally, these guidelines should enable non-bioinformatics experts as well (when reviewing, for example) to assess whether a manuscript fulfills these guidelines.  ## Conventions Used in this Manuscript  All items are grouped into three categories:  **Bronze**: Minimal requirements to ensure reproducibility. This constitutes the minimal level of compliance with this guideline.  **Silver**: Intermediate level  **Gold**: Fully documented consideration of all bioinformatics aspects.  The guidelines are organized by sections (e.g. Public Data Deposition). Each section provides a checklist of information that must (**Bronze**), should (**Silver**) or could (**Gold**) be provided for each specific technology. If one of the items in the checklist is applied to only a specific set of MS-based technologies, it will be mentioned and tag specifically. The idea behind this approach is to create reusable blocks that can be integrated into other guidelines as well. The current guidelines are design for the following biomedical research fields:   - Proteomics (bottom-up and top-down) - ProteoGenomics*  - Metabolomics  - Lipidomics  - Mass Spectrometry Imaging   **ProteoGenomics** can be considered a specific subfield of MS-based proteomics studies in which more complex analysis are performed.   Some of the rules are design for **meta-analysis** manuscripts. A meta-analysis manuscript is the aggregation/reanalysis of previously published data.   
 Public Data Deposition  We consider public data deposition as a vital requirement for any published study. Therefore:  
Raw data is deposited in a public repository   	Bronze   	 The complete RAW data (ie. the mass spectrometer's raw files, such as `RAW` files for Thermo Fisher instruments) of any MS-based study must be deposited in a public repository to ensure reproducibility. 	all    
The data repository is part of [ProteomeXchange](http://www.proteomexchange.org/)   	Bronze   	The ProteomeXchange Consortium coordinates standard data submission and dissemination guidelines of proteomics data. It encourages open data policies in the field of proteomics and guarantees the long-term maintainability of the data. 	 Proteomics, ProteoGenomics    
Data should be deposited in one of the following repositories: Metabolights, MassIVE   	Silver    	[Metabolights](https://www.ebi.ac.uk/metabolights/) and [MassIVE](https://massive.ucsd.edu) are the two major archives for metabolomics data in the world. These two archives implement standard protocols for data submission and dissemination of metabolomics data.       	Metabolomics    
Experimental design is deposited in a public repository   	Bronze   	 An accompanying file is made available which describes the experimental design in terms of sample id per raw file / isobaric channel, and fraction identifier, as well as any additional factors relevant to the experiment. This file should be deposited alongside the data in the public repository or must alternatively be submitted as a supplementary file with the manuscript.This file should indicate factors potentially relevant to batch effects (f.e. machine id, lab id, run date and time). If supported, this information should be made available using the repository’s standard method. 	all      
The identifier of the data submission is mentioned in the manuscript   	Bronze   	 	all       
The data must be available at the time of submission for review and must be available publicly at the time of publication. 	Bronze   	The assessment of raw data, or at least the way the data was submitted, is vital to the review process of a scientific publication. This allows reviewers to ensure that the data was deposited in a re-usable way. 	all      
Linked to matched data, e.g. transcriptomics is provided   	Silver   	The accession of the complementary omics data should be provided in the main manuscript. These data should be  available in another public repository (e.g. RNA-seq dataset in ArrayExpress).  	[PXD008960](https://www.ebi.ac.uk/pride/archive/projects/PXD008960) by Ren *et al.* is an example of a proteo-genomics study where RNA-seq data is linked to proteomics data. 	all     
The processed data is deposited in a public repository   	Silver     	The **processed** result files (ie. search result files indicating identified PSMs, peptides, and proteins) are deposited in the same public repository as the raw data. 	all     
For meta-analysis papers, the identifiers of all reanalyzed datasets are mentioned in the manuscript     	Bronze     	For meta-analysis manuscripts where multiple public datasets are reanalyzed with a different approach or bioinformatics workflow, the identifier and the publication of each of these datasets should be cited in the manuscript.     	all      
Acquisition method files are made available together with the Raw data      	Silver   	    	Proteomics, ProteoGenomics    
The mass spectra are provided in the HUPO-PSI standard file format mzML   	Gold    	[mzML](http://www.psidev.info/mzML) is a HUPO-PSI data format that store mass spectrometry data (e.g mass spectra, chromatograms) using controlled vocabulary terms. mzML, is a well tested open-source and XML-based format.    	Proteomics, ProteoGenomics, Metabolomics, Lipidomics  
The identification information (PSMs / Petides / Proteins) are provided in the HUPO-PSI format mzIdentML or mzTab   	Gold   	This relates to the search results. As most proteomics search engines support [mzIdentML](http://www.psidev.info/mzidentml) and [mzTab](http://www.psidev.info/mztab), the files generated by the search engine should be uploaded to the same repository as the mass spectrometer's raw data. 	Proteomics, ProteoGenomics    
The quantitative information is made available in the HUPO-PSI standard file format mzTab    	Gold   	[mzTab](http://www.psidev.info/mztab) is a HUPO-PSI standard file fomat that store proteomics and metabolomics identification and quantification results including: Peptide spectrum matches, Peptides, metabolites and proteins.  	Proteomics, ProteoGenomics, Metabolomics    
